Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
Hellas Verona,ITA,9,38,14,11,13,65,59,6,53,1.39,51.8,48.9,2.9,0.08,12343,Giovanni Simeone - 17,Lorenzo Montipò
Leicester City,ENG,8,38,14,10,14,62,59,3,52,1.37,50.8,61.0,-10.1,-0.27,32493,Jamie Vardy - 15,Kasper Schmeichel
Mainz 05,GER,8,34,13,7,14,50,45,5,46,1.35,51.0,46.0,5.0,0.15,17978,Jonathan Burkardt - 11,Robin Zentner
Hoffenheim,GER,9,34,13,7,14,58,60,-2,46,1.35,55.1,52.5,2.5,0.07,11227,Georginio Rutter - 8,Oliver Baumann
Brighton,ENG,9,38,12,15,11,42,44,-2,51,1.34,46.0,45.6,0.4,0.01,30966,Leandro Trossard Neal Maupay - 8,Robert Sánchez
Wolves,ENG,10,38,15,6,17,38,43,-5,51,1.34,35.9,60.3,-24.4,-0.64,30777,Raúl Jiménez - 6,José Sá
Torino,ITA,10,38,13,11,14,46,41,5,50,1.32,48.8,39.9,8.9,0.23,9160,Andrea Belotti - 8,Vanja Milinkovi?-Savi?
Sassuolo,ITA,11,38,13,11,14,64,66,-2,50,1.32,56.0,67.0,-10.9,-0.29,7638,Gianluca Scamacca - 16,Andrea Consigli
M'Gladbach,GER,10,34,12,9,13,54,61,-7,45,1.32,57.7,54.7,3.0,0.09,26539,Jonas Hofmann - 12,Yann Sommer
Newcastle Utd,ENG,11,38,13,10,15,44,62,-18,49,1.29,40.3,55.4,-15.2,-0.4,51487,Callum Wilson - 8,Martin Dúbravka
Crystal Palace,ENG,12,38,11,15,12,50,46,4,48,1.26,46.4,41.0,5.4,0.14,24541,Wilfried Zaha - 14,Vicente Guaita
Valencia,ESP,9,38,11,15,12,48,53,-5,48,1.26,39.3,47.2,-7.9,-0.21,27349,Gonçalo Guedes Carlos Soler - 11,Giorgi Mamardashvili
Brest,FRA,11,38,13,9,16,49,57,-8,48,1.26,45.2,59.2,-14.0,-0.37,11629,Franck Honorat - 11,Marco Bizot
Udinese,ITA,12,38,11,14,13,61,58,3,47,1.24,53.1,52.0,1.0,0.03,11655,Gerard Deulofeu - 13,Marco Silvestri
Eint Frankfurt,GER,11,34,10,12,12,45,49,-4,42,1.24,44.2,51.5,-7.3,-0.21,26162,Rafael Borré - 8,Kevin Trapp
Wolfsburg,GER,12,34,12,6,16,43,54,-11,42,1.24,48.8,49.8,-1.0,-0.03,12018,Lukas Nmecha - 8,Koen Casteels
Bochum,GER,13,34,12,6,16,38,52,-14,42,1.24,40.9,56.8,-15.9,-0.47,15125,Sebastian Polter - 10,Manuel Riemann
Osasuna,ESP,10,38,12,11,15,37,51,-14,47,1.24,37.1,45.4,-8.3,-0.22,17107,Ante Budimir - 8,Sergio Herrera
Celta Vigo,ESP,11,38,12,10,16,43,43,0,46,1.21,44.3,46.5,-2.2,-0.06,10014,Iago Aspas - 17,Matías Dituro
Reims,FRA,12,38,11,13,14,43,44,-1,46,1.21,38.7,49.1,-10.4,-0.27,10635,Hugo Ekitike - 10,Predrag Rajkovi?
Brentford,ENG,13,38,13,7,18,48,56,-8,46,1.21,47.8,49.1,-1.3,-0.03,16916,Ivan Toney - 12,David Raya
Bologna,ITA,13,38,12,10,16,44,55,-11,46,1.21,44.1,54.2,-10.1,-0.27,13845,Marko Arnautovi? - 14,?ukasz Skorupski
Aston Villa,ENG,14,38,13,6,19,52,54,-2,45,1.18,44.0,49.1,-5.1,-0.13,41681,Ollie Watkins - 11,Emiliano Martínez
Montpellier,FRA,13,38,12,7,19,49,61,-12,43,1.13,43.7,58.7,-15.0,-0.39,10218,Sepe Elye Wahi - 10,Jonas Omlin
Augsburg,GER,14,34,10,8,16,39,56,-17,38,1.12,38.1,58.3,-20.1,-0.59,15197,Michael Gregoritsch - 9,Rafa? Gikiewicz
Rayo Vallecano,ESP,12,38,11,9,18,39,50,-11,42,1.11,45.4,46.7,-1.3,-0.04,7866,Sergi Guardiola - 8,Stole Dimitrievski
Elche,ESP,13,38,11,9,18,40,52,-12,42,1.11,34.9,61.1,-26.2,-0.69,15640,Pere Milla - 8,Édgar Badía
Espanyol,ESP,14,38,10,12,16,40,53,-13,42,1.11,37.9,51.9,-14.0,-0.37,17277,Raúl de Tomás - 17,Diego López
Angers,FRA,14,38,10,11,17,44,55,-11,41,1.08,44.8,49.0,-4.2,-0.11,7370,Sofiane Boufal - 8,Danijel Petkovi?
Empoli,ITA,14,38,10,11,17,50,70,-20,41,1.08,46.6,67.8,-21.2,-0.56,6320,Andrea Pinamonti - 13,Guglielmo Vicario
Southampton,ENG,15,38,9,13,16,43,67,-24,40,1.05,46.8,58.6,-11.9,-0.31,30134,James Ward-Prowse - 10,Fraser Forster
Getafe,ESP,15,38,8,15,15,33,41,-8,39,1.03,29.6,39.0,-9.4,-0.25,8702,Enes Ünal - 16,David Soria
Cádiz,ESP,17,38,8,15,15,35,51,-16,39,1.03,41.5,52.8,-11.3,-0.3,14055,Anthony Lozano Álvaro Negredo - 7,Jeremías Ledesma
Everton,ENG,16,38,11,6,21,43,66,-23,39,1.03,42.8,54.5,-11.7,-0.31,38446,Richarlison - 10,Jordan Pickford
Mallorca,ESP,16,38,10,9,19,36,63,-27,39,1.03,40.0,48.3,-8.3,-0.22,12712,Vedat Muriqi Salva Sevilla - 5,Manolo Reina
Troyes,FRA,15,38,9,11,18,37,53,-16,38,1.0,39.5,50.9,-11.4,-0.3,8963,Xavier Chavalerin Ike Ugbo - 5,Gauthier Gallon
Granada,ESP,18,38,8,14,16,44,61,-17,38,1.0,41.5,61.4,-20.0,-0.53,13710,Jorge Molina - 10,Luís Maximiano
Leeds United,ENG,17,38,9,11,18,42,79,-37,38,1.0,47.2,70.1,-23.0,-0.6,36308,Raphael Dias Belloli - 11,Illan Meslier
Stuttgart,GER,15,34,7,12,15,41,59,-18,33,0.97,45.3,51.5,-6.3,-0.18,27052,Sasa Kalajdzic - 6,Florian Müller
Hertha BSC,GER,16,34,9,6,19,37,71,-34,33,0.97,34.1,55.3,-21.2,-0.62,23500,Stevan Joveti? - 6,Alexander Schwolow
Sampdoria,ITA,15,38,10,6,22,46,63,-17,36,0.95,37.0,58.5,-21.5,-0.57,8756,Francesco Caputo - 11,Emil Audero
Lorient,FRA,16,38,8,12,18,35,63,-28,36,0.95,43.8,52.1,-8.3,-0.22,12393,Terem Moffi - 8,Paul Nardi
Spezia,ITA,16,38,10,6,22,41,71,-30,36,0.95,39.3,67.6,-28.3,-0.74,6380,Daniele Verde - 8,Ivan Provedel
Clermont Foot,FRA,17,38,9,9,20,38,69,-31,36,0.95,44.9,53.0,-8.2,-0.21,10425,Mohamed Bayo - 14,Ouparine Djoco
Burnley,ENG,18,38,7,14,17,34,53,-19,35,0.92,39.0,56.7,-17.7,-0.47,19163,Maxwel Cornet - 9,Nick Pope
Levante,ESP,19,38,8,11,19,51,76,-25,35,0.92,56.5,56.2,0.3,0.01,14961,José Luis Morales - 13,Cárdenas
Saint-Étienne,FRA,18,38,7,11,20,42,77,-35,32,0.84,41.0,61.2,-20.2,-0.53,21806,Wahbi Khazri - 10,Paul Bernardoni
Arminia,GER,17,34,5,13,16,27,53,-26,28,0.82,28.2,62.3,-34.1,-1.0,16773,Masaya Okugawa - 8,Stefan Ortega
Alavés,ESP,20,38,8,7,23,31,65,-34,31,0.82,36.9,58.7,-21.8,-0.57,10952,Joselu - 14,Fernando Pacheco
Metz,FRA,19,38,6,13,19,35,69,-34,31,0.82,30.2,63.8,-33.6,-0.88,14413,Nicolas de Préville - 5,Alexandre Oukidja
Bordeaux,FRA,20,38,6,13,19,52,91,-39,31,0.82,44.8,69.6,-24.9,-0.65,22083,Hwang Ui-jo - 11,Benoît Costil
Salernitana,ITA,17,38,7,10,21,33,78,-45,31,0.82,37.7,65.9,-28.2,-0.74,12900,Federico Bonazzoli - 10,Vid Belec
Cagliari,ITA,18,38,6,12,20,34,68,-34,30,0.79,39.5,61.5,-22.0,-0.58,9400,João Pedro - 13,Alessio Cragno
Genoa,ITA,19,38,4,16,18,27,60,-33,28,0.74,37.8,51.6,-13.8,-0.36,11628,Mattia Destro - 9,Salvatore Sirigu
Venezia,ITA,20,38,6,9,23,34,69,-35,27,0.71,36.1,72.6,-36.5,-0.96,6705,Thomas Henry - 9,Niki Mäenpää
Watford,ENG,19,38,6,5,27,34,77,-43,23,0.61,38.8,66.6,-27.8,-0.73,20614,Emmanuel Dennis - 10,Ben Foster
Norwich City,ENG,20,38,5,7,26,23,84,-61,22,0.58,33.3,77.0,-43.6,-1.15,26836,Teemu Pukki - 11,Tim Krul
Greuther Fürth,GER,18,34,3,9,22,28,82,-54,18,0.53,30.7,60.3,-29.6,-0.87,7672,Branimir Hrgota - 9,Sascha Burchert
